id,en,zh,lzh,ja,ru
教程：请拾起未熄灭的蜡烛,,教程：请拾起未熄灭的蜡烛,,,
教程：找到熄灭的灯源并点亮它,,教程：找到熄灭的灯源并点亮它,,,
教程：请双击陶谦的牌位,,教程：请双击陶谦的牌位,,,
蜡烛,,蜡烛,,,
请点击政策获取施政的详细信息,,请点击政策获取施政的详细信息,,,
风好大，灯笼被吹灭了,,风好大，灯笼被吹灭了 ,,,
太黑了，我觉得我头有亿点点晕,,太黑了，我觉得我头有亿点点晕,,,
教程,,教程,,,
请拾起未熄灭的蜡烛,,请拾起未熄灭的蜡烛,,,
我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,,我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,,,
我可以用这微弱的火源寻找熄灭的灯并点亮它,,我可以用这微弱的火源寻找熄灭的灯并点亮它,,,
找到熄灭的灯源并点亮它,,找到熄灭的灯源并点亮它,,,
很好，我可以看清整个房间里的东西了,,很好，我可以看清整个房间里的东西了,,,
等等 这是,,等等 这是,,,
陶谦的牌位...他怎么会？而我为什么会在这里,,陶谦的牌位...他怎么会？而我为什么会在这里,,,
好像 牌位上有什么机关，双击点击看看,,好像 牌位上有什么机关，双击点击看看,,,
请双击陶谦的牌位,,请双击陶谦的牌位,,,
